Run,"Relative (CSS-1)","Absolute (CSS-1)","Relative (CSS-10)","Absolute (CSS-10)","Relative (CSS-20)","Absolute (CSS-20)",,
0,2.99,0.99,1.99,1.99,0.99,2.79,,
1,0.99,3,0.99,0.99,1.99,0.99,,
2,5,1,1.99,0.99,0.99,0.99,,
3,2.99,2.19,0.99,0.99,1.79,1.59,,
4,0.99,3,0.99,2.49,0.99,1.99,,
5,2.99,2.62333333333333,2.19,0.99,1.99,0.99,,
6,4.99,2.2,0.99,2.15666666666667,2.115,0.99,,
7,0.99,0.99,0.99,0.99,2.09,0.99,,
8,2.99,2.35666666666667,0.99,1.99,0.99,0.99,,
9,5,2.5,2.19,0.99,1.89,0.99,,
10,0.99,0.99,1.99,0.99,1.99,0.99,,
11,5,1,2.79,1.59,0.99,0.99,,
12,2.99,2.09,0.99,0.99,0.99,0.99,,
13,5,1,0.99,1.49,0.99,0.99,,
14,5,1,0.99,0.99,2.09,0.99,,
15,5,3,0.99,1.99,0.99,0.99,,
16,0.99,1,0.99,2.19,1.89,2.99,,
17,2.99,0.99,2.19,2.99,0.99,0.99,,
18,2.99,2.19,0.99,0.99,1.99,0.99,,
19,0.99,3,0.99,0.99,1.89,0.99,,
20,5,3,0.99,0.99,1.89,1.99,,
21,2.99,2.49,2.19,0.99,0.99,0.99,,
22,5,3,0.99,0.99,0.99,0.99,,
23,5,1,0.99,0.99,1.89,0.99,,
24,3,0.99,0.99,1.19,1.89,0.99,,
25,5,3,2.19,0.99,1.89,0.99,,
26,3,0.99,2.34,0.99,0.99,0.99,,
27,0.99,0.99,1.99,0.99,1.79,0.99,,
28,5,1,0.99,0.99,1.99,0.99,,
29,2.99,0.99,0.99,0.99,0.99,0.99,,
Mean,3.32766666666667,1.81866666666667,1.42833333333333,1.32888888888889,1.53083333333333,1.20333333333333,,
,,,,,,,,
,"F-Test (Absolute Fitness)",,,,,"F-Test (Relative Fitness)",,
,CSS-1,CSS-10,CSS-20,,,CSS-1,CSS-10,CSS-20
CSS-1,X,X,X,,CSS-1,X,X,X
CSS-10,0.02080503860136,X,X,,CSS-10,1.27844256929527E-06,X,X
CSS-20,0.00911215383088,0.7550786335525,X,,CSS-20,8.88830911576067E-09,0.25785739517824,X
,,,,,,,,
,F-Critical,1.86081143547608,,"(All F's, relative and absolute, are below F-critical)",,,,
,,,,,,,,
,"Variance (Absolute)",,,,,"Variance (Relative)",,
,CSS-1,CSS-10,CSS-20,,,CSS-1,CSS-10,CSS-20
CSS-1,X,X,X,,CSS-1,X,X,X
CSS-10,equal,X,X,,CSS-10,equal,X,X
CSS-20,equal,equal,X,,CSS-20,equal,inequal,X
,,,,,,,,
,"T-Test (Absolute)",,,,,"T-Test (Relative)",,
,CSS-1,CSS-10,CSS-20,,,CSS-1,CSS-10,CSS-20
CSS-1,X,X,X,,CSS-1,X,X,X
CSS-10,0.00890840295584,X,X,,CSS-10,6.29983488015638E-08,X,X
CSS-20,0.00043842804134,0.46246259943465,X,,CSS-20,3.30122743236411E-07,0.39745659385756,X
